Soru,Cevap
Aşağıdakilerden hangisi Max Scheler’in Değerler Hiyerarşisi'nde yer almaz?,Max Scheler’in Değerler Hiyerarşisi;
Aşağıdakilerden hangisi tıp etiğinin belli başlı sorunları arasında yer almaz?,"Bugün genellikle kabul edildiği üzere tıp etiğinin belli başlı sorunları arasında şu başlıklar yer alır: Kürtaj, ötanazi, bitkisel yaşam, genetik müdahale, insan üzerinde deney, insan klonlama , dürtülerin kontrol edilmesi amacıyla beyin operasyonları gerçekleştirme, organ nakli, bilgilendirme yükümlülüğü,  hastanın özgür iradesini kısıtlama."
Aşağıdakilerden hangisi meslek ahlakının meslek mensubuna kazandırdığı ahlâki alışkanlıklardan biri değildir?,"Meslek ahlâkı, herhangi bir meslek mensubuna birtakım ahlâki alışkanlıklar kazandırır. Bu alışkanlıklara örnek olarak şunlar gösterilebilir:
iş ortamında saygınlık kazanma,
iş ortamındaki güvenirlik,
iş dünyasında iyi bir imaja sahip olma,
meslek hayatında karşılaşılacak problemlerin çözümünde kolaylık görme, ahlâki değerlerle kalite yönetimi, stratejik
planlama gibi alanların yönetilmesine de yardımcı olma,
ahlâki değerlerle kurumların sosyal sorumluluklarını düzenli bir şekilde yerine getirmesini sağlama,"
Aşağıdakilerden hangisi modern düşünce tarihinde meslek ahlakı üzerinde yoğunca duran ve Meslek Ahlakı isimli kitabı olan isimdir?,"Modern düşünce tarihinde bu konu üzerinde belki de en fazla duran isimlerden biri ünlü Fransız sosyolog Émile Durkheim’dır. Özellikle Meslek Ahlâkı isimli kitabı, modern toplumlarda mesleklerin görmesi gereken işlevleri izah eden, meslek ile ahlâk arasında kopmaz bir bağ olduğunu gözler önüne seren en önemli eserlerden biridir."
Aşağıdakilerden hangisi birinci kuşak haklardan biri değildir?,"Birinci kuşak haklar;
• Yaşam hakkı ve kişi dokunulmazlığı
• Kişi özgürlüğü ve güvenliği
• Düşünce ve düşünceyi açıklama özgürlüğü
• İnanç ve ibadet özgürlüğü
• Konut dokunulmazlığı
• Mülkiyet hakkı
• Eşitlik hakkı
• Seçme ve seçilme hakkı
• Kamu hizmetlerine girme hakkı
• Tarafsız bir yargıç önünde yargılanma hakkı, başka bir deyimle adil yargılanma hakkı olarak sıralanabilir."
"Bu teorinin çözmesi gereken temel sorun, siyasi iktidarın, her bireye eşit muamele etmesini sağlayacak ve onlara herhangi bir özel iyi anlayışını zorla kabul ettirmesini engelleyecek kurallar bütününü belirten teori aşağıdakilerden hangisidir?","Liberal siyaset teorisine göre liberalizmin çözmesi gereken temel sorun, siyasi iktidarın, her bireye eşit muamele etmesini sağlayacak ve onlara herhangi bir özel iyi anlayışını zorla kabul ettirmesini engelleyecek kurallar bütününü belirlemektir."
"Seçeneklerden hangisi, meta-etik teorilerden doğalcılık (naturalism)'in temsilcilerindendir?","Her ne kadar meta-etik teorilerinin hangileri olduğu, normatif etik teorileriyle aralarındaki sınırın nerede başlayıp nerede bittiği tam açık değilse de genellikle kabul edilen meta-etik teorileri şunlardır: doğalcılık (naturalism), sezgicilik (intuitionism), duyguculuk (emotivism) ve kuralkoyuculuk (prescriptivism)/ahlâk mantıkçılığı. "
Fransız İnsan ve Vatandaş Hakları Bildirisi hangi yıl yayımlandı?,1789 Fransız İnsan ve Vatandaş Hakları Bildirisi kişi hakları doktrinin Avrupa Kıtasında resmen kabul ve ilan edilmesinin belgesidir.
"Emekçilerin hakkettiği ücreti ve muameleyi görmesini sağlayacak koşulları oluşturmayı hedefleyen etik, aşağıdakilerden hangisidir? ","İş etiğinin konusu, işletmelerin mal ve hizmet üretirken gerek örgüt gerekse kişi düzeyinde uyması gereken davranış standartlarıdır. Bu anlamda iş etiği, iş yaşamını düzenleyen yasaların toplumsal sorumluluk ilkesine uygun bir şekilde nasıl uygulanacağı, paydaşlarla ilişkilerde hangi normların geçerli olacağı, insanlarda işletmeye karşı güven duygusunun nasıl yaratılacağı vb. sorunlara odaklanır. İşçi ve emekçilerin hakkettiği ücreti ve muameleyi görmesini sağlayacak koşulları oluşturmayı hedefler. Doğru cevap D seçeneğidir."
Aşağıdakilerden hangisi birinci kuşak haklardan biridir?,"Birinci kuşak haklar;
• Yaşam hakkı ve kişi dokunulmazlığı
• Kişi özgürlüğü ve güvenliği
• Düşünce ve düşünceyi açıklama özgürlüğü
• İnanç ve ibadet özgürlüğü
• Konut dokunulmazlığı
• Mülkiyet hakkı
• Eşitlik hakkı
• Seçme ve seçilme hakkı
• Kamu hizmetlerine girme hakkı
• Tarafsız bir yargıç önünde yargılanma hakkı, başka bir deyimle adil yargılanma hakkı
olarak sıralanabilir."
Normatif etik - meta-etik tasnifinde kolayca bir yere oturtulamayan ve her iki etik yaklaşıma da uygun görüşlere sahip olan etik yaklaşım aşağıdakilerden hangisidir?,Normatif etik - meta-etik tasnifinde kolayca bir yere oturtulamayan ve her iki etik yaklaşıma da uygun görüşlere sahip olan etik yaklaşım değerler etiğidir. Dolayısıyla cevap “B” seçeneğidir.
"'Homo faber olarak insan; doğada var olan nesneleri işler, toplumsal iş bölümünün gereğine uygun olacak bir hâle getirir.' İnsanın bu faaliyetine ne denmektedir?","Homo faber olarak insan; doğada varolan nesneleri işler, toplumsal işbölümünün gereğine uygun olacak bir hâle getirir. İnsanın bu faaliyetine ise teknik denir. Yani pratik aklın ilk görünümü teknik olarak karşımıza çıkar."
"Neyin varolup neyin varolmadığını, varlık ve oluşu neyin belirlediğini, varolmanın ne anlama geldiğini, varolanların arasındaki ilişkileri, varlığın ilkelerini soruşturan felsefe alanı aşağıdakilerden hangisidir? ","Neyin varolup neyin varolmadığını, varlık ve oluşu neyin belirlediğini, varolmanın ne anlama geldiğini, varolanların arasındaki ilişkileri, varlığın ilkelerini soruşturan felsefe alanı ontolojidir."
"Kişilerin temel haklarının korunması talebi ve mevcut koşullarda gereklerinin, sürekli olarak, ülkeler ve dünya düzeyinde gerçekleştirilmesi talebine, ne ad verilir?","Adalet, kişilerin temel haklarının korunması talebi ve mevcut koşullarda gereklerinin, sürekli olarak, ülkeler ve dünya düzeyinde gerçekleştirilmesi talebidir. Doğru cevap C seçeneğidir."
Belirli bir ortamda bulunan teknik ve sosyal eylemler topluluğu olarak yapılan iş tanımı ne tür bir tanım olabilir?,"Sosyolojik anlamda iş, “belirli bir ortamda bulunan teknik ve sosyal eylemler topluluğudur” . Burada işin, doğal ve toplumsal çevreyi dönüştürme özelliği vurgulanmaktadır. Fakat bu durumda iş ile iş olmayan arasındaki fark silikleşir. Zira doğal ve toplumsal çevreyi dönüştürme gücünü haiz, fakat bizim burada kabul ettiğimiz anlamda iş sayılamayacak bir çok insani etkinlik vardır."
Sendika kurma hakkı hangi haklar döneminde ortaya çıkmış haklar arasında yer alır?,Sendika kurma hakkı ikinci kuşak hakların edinildiği dönemde ortaya çıkmıştır. Buna göre doğru cevap B şıkkıdır.
"Ahlâksal kavramların, ahlâksal olmayanlara çevrilebileceğini, ahlâksal temellendirmenin ahlâksal olmayan bir biçimde sürdürülebileceğini, ve ahlâk sorunlarını bilimsel yöntemle ele almanın verimli olacağını söyleyen ya da doğru sayan etik teorisi aşağıdakilerden hangisidir?","Doğalcı etik, ahlâksal kavramların, ahlâksal olmayanlara çevrilebileceğini, ahlâksal temellendirmenin ahlâksal olmayan bir biçimde sürdürülebileceğini, ve ahlâk sorunlarını bilimsel yöntemle ele almanın verimli olacağını söyler ya da doğru sayar. Buna göre doğru cevap A şıkkıdır."
Erdem kavramına ilişkin aşağıda verilenlerden hangisi yanlıştır?,"Erdem bir maharet, bir hüner değildir. Belirli bir konuda gösterilen hüner, erdem ile kazanılma ve uygulanma açısından benzer özelliklere sahip olabilir. Aynı zamanda erdemin de daha etkili olabilmesi için hünerle birlikte kazanılması tercih edilebilir. Fakat buna rağmen hüner, erdemin kendiliğinden sahip olduğu değere sahip değildir. Doğru cevap D' dir."
"“Doğa insanı iki hükmedici efendinin yönetimine vermiştir: Acı ve haz. Ne yapacağımızı belirlemek kadar, ne yapmamamız gerektiğine işaret etmek de sadece onlara düşer.” görüşü hangi düşünür tarafından ifade edilmiştir? ","“Doğa insanı iki hükmedici efendinin yönetimine vermiştir: Acı ve haz. Ne yapacağımızı belirlemek kadar, ne yapmamamız gerektiğine işaret etmek de sadece onlara düşer.” görüşü Jeremy Bentham tarafından ifade edilmiştir"
Aşağıdaki kavramlardan hangisi “insanın fiziksel çevresini değiştirmek için gerçekleştirdiği amaçlı bir çaba” yı tanımlar?,"Çalışma, kısaca “insanın fiziksel çevresini değiştirmek için gerçekleştirdiği amaçlı bir çaba” şeklinde tanımlanabilir (H. S¸ebnem Seçer, 2007: 1). Bu tanımdan hareketle çalışmanın fiziksel ve zihinsel bir etkinlik olduğunu söyleyebiliriz."
Avukatın kesin olarak zorunlu bulunmadıkça müvekkil adına basına açıklamada bulunamaması ve baktığı davada görevini savsaklayarak ya da kötüye kullanarak müvekkili zararına kendisine bir yarar sağlayamaması hangi ilke ile ilgilidir?,"Ehliyet, Özen ve Mesleğe Yaraşırlık ilkesi gereğince, avukat, kesin olarak zorunlu bulunmadıkça müvekkil adına basına açıklamada bulunamaz. Açıklamalarda adalete etkili olmak amacı güdülemez. Avukat, baktığı davada görevini savsaklayarak ya da kötüye kullanarak müvekkili zararına kendisine bir yarar sağlayamaz."
"Türkiye Cumhuriyeti Devletinin hukuk devleti, olduğu Anayasanın hangi maddesinde düzenlenmiştir?","TC Anayasasının değiştirilmesi teklif dahi edilemeyecek maddelerinden olan 2. maddesine göre; Türkiye Cumhuriyeti “demokratik, laik ve sosyal bir hukuk devleti”dir. Doğru cevap ""A"" şıkkıdır."
Yargıtay Personeli Etik Davranış İlkeleri hangi yıl kabul edilmiştir?,"Türk hukukunda yardımcı adalet personelinin yazı işlerini yürütürken tâbi oldukları etik kuralları doğrudan içeren bir düzenleme yakın tarihlere kadar bulunmamaktaydı. Nihayet 2017 yılında, “Yargıtay Personeli Etik Davranış İlkeleri” kabul edilmiş bulunmaktadır."
"Aşağıdakilerden hangisi, uzmanlaşmanın temelini oluşturan nesnel ve evrensel standartların göstergesidir?","Uzmanlaşma, birbirinden çok farklı mesleklerin ortaya çıkması, hatta belirli bir meslek içerisinde alt dalların oluşması, mesleklerin yeni yöntemlerle icra edilmesi anlamına gelir. Bu da formel bir meslek eğitimine ihtiyaç doğurur. Diğer bir ifadeyle meslekler artık önemli ölçüde diplomalıdır. Diplomalılık, uzmanlaşmanın temelini oluşturan nesnel ve evrensel standartların göstergesidir. Doğru cevap D seçeneğidir."
Yazı işleri görevlileri ile icra ve iflâs dairesi memurlarının görevleri sırasında edindikleri bilgileri saklamakla yükümlü olmaları hangi etik kural ile ilişkilidir?,Doğru cevap B'dir. Tüm adli ve idari yargı personelinin bildikleri hususları saklamakla yükümlü olmaları gizlilik etik kuralı ile ilişkilidir.
BM İnsan Hakları Evrensel Bildirisi hangi yılda kabul edilmiştir?, BM İnsan Hakları Evrensel Bildirisi 10 Aralık 1948’de kabul edilmiştir.
"Aşağıdakilerden hangisi veya hangileri meta-etik teorilerdendir?
I. Doğalcılık
II. Sezgicilik
III. Duyguculuk
IV. Kuralkoyuculuk","Genellikle kabul edilen meta-etik teorileri şunlardır: doğalcılık (naturalism), sezgicilik (intuitionism), duyguculuk (emotivism) ve kuralkoyuculuk (prescriptivism)/ ahlâk mantıkçılığı. Buna göre doğru cevap E şıkkıdır."
İşletmelerin mal ve hizmet üretirken gerek örgüt gerekse kişi düzeyinde uyması gereken davranış standartları aşağıdakilerden hangisidir?,"İş etiğinin konusu, işletmelerin mal ve hizmet üretirken gerek örgüt gerekse kişi düzeyinde uyması gereken davranış standartlarıdır."
İş ile mesleği birbirinden ayırmada başvurulan en yaygın ölçüt aşağıdakilerden hangisidir?,"İş ile mesleği birbirinden ayırmada başvurulan en yaygın ölçüt, mesleğin, işe göre çok daha sistematik bir bilgi ve toplumsallık gerektirmesidir. Bu anlamda meslek, aşağı yukarı aynı niteliklere sahip birden çok işe verilen ortak isimdir. Sosyal ve ekonomik koşulların meslek mensupları üzerindeki etkisi, iş sahiplerine
göre daha fazladır."
Aşağıdakilerden hangisi adil yargılanma hakkı ile ilgili doğru bir ifade değildir?,"Adalet hizmetlerinin paralı olması yahut toplumun büyük kesiminin ulaşamayacağı
ölçüde pahalı olması, dava açmanın yüksek ücretlere tabi olması, ücretsiz avukat ve tercüman desteğinin sağlanmaması gibi maddi nedenler de adil yargılanma hakkının ihlali anlamına gelir."
Toplumsal yapının değişimine bağlı olarak “meslek” kavramı değişmiştir modern toplumlarda bu değişmenin nasıl bir sonucu olmuştur?,"Toplumsal yapının değişimine paralel şekilde meslek kavramı da değişir. Bu değişimde o toplumdaki işbölümünün niteliği belirleyicidir. Modern toplumlar için bu değişim, meslekler açısından çok büyük oranda bir çeşitlenme ve buna bağlı gerçekleşen uzmanlaşma (profesyonelleşme) yönünde olmuştur. Meslekler hem sayıca artmış hem de nitelikçe farklılaşmıştır. Bu nicel ve nitel değişimin temelinde sanayileşme ve teknolojik ilerleme yer alır."
"Hakim, çalışma saatlerine hem kendisi uyar hem de altındaki kişilerin uymasını sağlar. Adaletin etkin ve verimli biçimde dağıtılmasına özen gösterir. Hâkim, yargılama faaliyeti ve mahkemesini denetlemek için ihtiyaç duyacağı bilgi, beceri ve kişisel niteliklerini geliştirmek amacıyla gerekli eğitim ve diğer imkânlardan yararlanır.
Aşağıdaki etik ilkelerinden hangisi yukarıda sıralanan hakimin görevlerini kapsar?","Ehliyet ve özen hâkimlik makamının gerektirdiği performansın ön koşuludur. Adaleti sağlamak, gerçeğe ulaşmak, hakkı korumak (himaye etmekle) yükümlü olan bir hâkim ehliyet sahibi olmalı, özenli davranmalıdır. Soruda sıralanan görevler ise bunun göstergesidir."
"Görevin herhangi bir etki altında kalmadan, bir kişi, kurum veya organdan emir almadan, yasamanın, yürütme erkinin ve diğer dış etkilerin baskısı altında kalmadan yerine getiril(ebil)mesi anlamına gelen ilke aşağıdakilerdne hangisidir.","Bağımsızlık, görevin herhangi bir etki altında kalmadan, bir kişi, kurum veya organdan emir almadan, yasamanın, yürütme erkinin ve diğer dış etkilerin baskısı altında kalmadan yerine getiril(ebil)mesi anlamına gelir."
"I- Kamu etiği alanında, 08.06.2004 tarihli Resmî Gazete’de yayımlanarak yürürlüğe girmiş bir kanundur.
II- Kamu görevlilerinin uyması gereken etik davranış ilkelerinden bazıları (saydamlık, taraf­sızlık, dürüstlük, hesap verebilirlik, kamu yararını gözetme) örnek olarak sayılmıştır. Bunlar dışında da etik davranış ilkelerinin belirlenmesi mümkün­dür.
III- Uygulamayı gözetme yetkisi, kanun ile kurulan; görev, çalış­ma usul ve esasları kanun ile belirlenen Kamu Gö­revlileri Etik Kurulu yapmaktadır.
5176 sayılı Kamu Görevlileri Etik Kurulu Kurulması Hak­kında Kanun ile ilgili olarak yukarıdaki bilgilerin hangisi doğru olarak verilmiştir?","Kamu etiği alanında, 08.06.2004 tarihli Resmî Gazete’de yayımlanarak yürürlüğe girmiş bir kanundur. Kamu görevlilerinin uyması gereken etik davranış ilkelerinden bazıları (saydamlık, taraf­sızlık, dürüstlük, hesap verebilirlik, kamu yararını gözetme) örnek olarak sayılmıştır. Bunlar dışında da etik davranış ilkelerinin belirlenmesi mümkün­dür. Uygulamayı gözetme yetkisi, kanun ile kurulan; görev, çalış­ma usul ve esasları kanun ile belirlenen Kamu Gö­revlileri Etik Kurulu yapmaktadır. Doğru cevap D şıkkıdır."
"Bir üçüncü kişinin yardımıyla, suçun mağduru ile failinin güvenli ve denetimli bir ortamda bir araya getirilmesi süreci olarak tanımlanan kavram aşağıdakilerden hangisidir?","Bir üçüncü kişinin (uzlaştırmacının) yardımıyla, suçun mağduru ile failinin güvenli ve denetimli bir ortamda bir araya getirilmesi sürecidir. Uzlaştırma kavramı, kurumu ve süreci ifade etmek için kullanılan kavramdır. Kısaca uzlaştırmacı adı verilen tarafsız ve bağımsız bir üçüncü kişinin gözetiminde gerçekleşen bu sürece uzlaştırma adı verilmektedir. doğu cevap B'dir. "
Aşağıdakilerden hangisi avukatlık meslek etiğine uymayanlar hakkında uygulanan disiplin cezaları arasında yer almamaktadır?,Doğru cevap E'dir. Aylıktan kesme avukatlara uygulanan disiplin cezaları arasında yer almamaktadır.
"Aşağıdakilerden hangisi, bir yandan müşterilere doğru, düzgün ve kaliteli mal ve hizmet sunumunun, diğer yandan da çevreye duyarlı bir üretimin imkânını sorgulayan etik örneğidir?","İş etiğinin konusu, işletmelerin mal ve hizmet üretirken gerek örgüt gerekse kişi düzeyinde uyması gereken davranış standartlarıdır. Bu anlamda iş etiği, iş yaşamını düzenleyen yasaların toplumsal sorumluluk ilkesine uygun bir şekilde nasıl uygulanacağı, paydaşlarla ilişkilerde hangi normların geçerli olacağı, insanlarda işletmeye karşı güven duygusunun nasıl yaratılacağı vb. sorunlara odaklanır. Bir yandan müşterilere doğru, düzgün ve kaliteli mal ve hizmet sunumunun, diğer yandan da çevreye duyarlı bir üretimin imkânını sorgular."
"uyuşmazlığın taraflarından birini yek diğerinden ayırmamak veya kayırmamak
görevin herhangi bir etki altında kalmadan yerine getirilebilmesi
Sosyal medya kullanırken öz denetim yapmak suretiyle siyasi, etnik, mezhepçi, cinsiyetçi ve benzeri paylaşım yapmamak
dürüstlük
mesleğe yaraşırlık
tarafsızlık
bağımsızlık
ehliyet ve özen
Yukarıda verilen meslek etiği başlıkları ile ifadelerin doğru eşleştirmesi aşağıdakilerden hangisidir?",Tarafsızlık:uyuşmazlığın taraflarından birini yek diğerinden ayırmamak veya kayırmamak
"""Hâkim, esas olarak verdiği hükümle konuşur. Kendisinin veya meslektaşlarının kararlarını görev gereği olmadıkça etki altında bırakacak şekilde eleştirmez, bu tarz eleştirenler ile iletişime girmez, yetkili olmadığı sürece medyada çıkan bu nitelikteki haber ve yorumlar hakkında açıklamada bulunmaz.""ifadesi mesleğe yaraşırlık ilkelerinden hangisini ifade etmektedir?",Hükmüyle konuşma
"Aşağıdakilerde hangisi adalet personelinin kendi adına adli kurumlarla, herhangi bir hizmet, satım veya kira sözleşmesi yapmamasını gerektirir?","Adalet personeli menfaat çatışmasından kaçınmak adına kendi adına adli kurumlarla, herhangi bir hizmet, satım veya kira sözleşmesi yapamaz."
"Aşağıdaki kavramlardan hangisini insanın, içinde yaşadığı evrene, yaratıcısına, kendisine ve toplumuna dair tutarlı, bütünlüklü ve akli bir sorgulama faaliyeti olarak tanımlamak mümkündür?","En yalın ifadeyle felsefe; insanın, içinde yaşadığı evrene, yaratıcısına, kendisine ve toplumuna dair tutarlı, bütünlüklü ve akli bir sorgulama faaliyetidir.  Doğru cevap ""A"" şıkkıdır."
İnsan hakları kavramına ilişkin aşağıdaki ifadelerden hangisi yanlıştır?,"Bir insan hakkının “hak” sayılabilmesi için anayasada, kanunlarda yer alması; o kanunun ya da anayasanın yürürlükte olması aranmamasıdır. İnsan hakları, yürürlükteki hukuktan bağımsızdır, yani düzenlenmese de olur. İnsan hakları yürürlükteki hukukun üstündedir, yani bir yasanın insan haklarına uygun olması gerekir. Öte yandan anayasalar ve yasalarla güvence altına alınmamış, hatta hukuk kuralları tarafından yasaklanmış davranış, talep bazı tutum ve davranışlar bile insan haklarının kapsamı içinde olabilmektedir. Örneğin, siyasi partilerin kurulmasına izin vermeyen bir devletin yurttaşları, örgütlenme özgürlüklerini insan hakkı olarak talep edebilirler."
"Ücret karşılığı gerçekleştirilen çalışma, ödemeli bir pozisyon ya da istihdam olarak tanımlanan kavram aşağıdakilerden hangisidir?","Ücret karşılığı gerçekleştirilen çalışma, ödemeli bir pozisyon ya da istihdam iş olarak adlandırılır."
"Aşağıdakilerden hangisi ahlâk yargıları hakkında yapılabilecek çıkarımlardan değildir?
I. Ahlâk yargıları kural koyucu dil türündendir.
II. Ahlâk yargılarını benimsiyorsak onlara uygun davranmalıyız.
III. Evrenselleştirilebilirlik ahlâk yargılarının betimleyici yargılarla paylaştığı bir özelliktir.
IV. yargılar arasındaki mantıksal ilişkilerin ortaya çıkarılması ahlâkta rasyonelliği mümkün kılar.","Evrenselleştirilebilme ise bir somut olay hakkında verilen bir ahlâk yargısının, benzer bütün olaylar karşısında da verilebilmesidir. Evrenselleştirilebilirlik (universalisability) aslında ahlâk yargılarının betimleyici yargılarla paylaştığı bir özelliktir. Buna karşılık kural koyuculuk (prescriptivity), ahlâk yargılarını betimleyici yargılardan ayırır. Kural koyuculuk, temel ahlâk yargılarının eylemlerimiz üzerinde etkisinin olmasıdır. Bu temel ahlâk yargılarını benimsiyorsak onlara uygun davranmalıyız. Ahlâk yargılarının sahip olduğu bu iki biçimsel özellik, ahlâk kanıtlamalarının mantık yoluyla yapılabilmesini sağlar. Bu özellikleri de gözönünde bulundurularak ahlâk yargıları hakkında üç temel sonuca ulaşılabilir:
1. Ahlâk yargıları kural koyucu dil türündendir.
2. Diğer kural koyucu yargılardan evrenselleştirilebilir olma özelliğiyle ayrılır.
3. Bu yargılar arasındaki mantıksal ilişkilerin ortaya çıkarılması ahlâkta rasyonelliği mümkün kılar."
Aşağıdakilerden hangisi meslek ahlakının herhangi bir meslek mensubuna kazandırdığı alışkanlıklardan biri değildir?,"Meslek ahlakı, ahlâki değerlerle kalite yönetimi, stratejik planlama gibi alanların yönetilmesine de yardımcı olma gibi değerler kazandırır. "
"Aşağıdakilerden hangisi geniş anlamda mahkemelerin her türlü işlemini, yazı işleri faaliyetini, hakimlerin terfi ve tayinlerini kapsarken, dar anlamda soyut bir hukuk kuralının somut olaya uygulanmasını ifade eder?","Yargı faaliyeti geniş anlamda mahkemelerin her türlü işlemini, yazı işleri faaliyetini, hakimlerin terfi ve tayinlerini kapsarken, dar anlamda yargı ile soyut bir hukuk kuralının somut olaya uygulanmasını anlarız. Doğru cevap ""E"" şıkkıdır. "
Personelin görevini ifa ederken eylemleri sonucunda kendisinin ve yakın ailesinin ticari ve mali çıkarlarının etkileneceği durumlarda bağımsız ve tarafsız işlem yapmasının zedeleneceği yahut zedelendiği görüntüsünün ortaya çıkabileceği durumları engellemek adına benimsenen etik ilke aşağıdakilerden hangisidir?,"Menfaat çatışmasından kaçınma, hem personelin tarafsızlığı hem onun mesleğe yaraşırlığı ile yakından ilişkilidir. Burada bahsettiğimiz yazı işleri personeli ve icra – iflâs dairesi memurları birer kamu görevlisi olduklarından ilk etapta Kamu Görevlileri Etik İlkeleri Yönetmeliğinin 13. maddesinde işaret edilen hususlara tâbidirler. Öte yandan menfaat çatışması, Yargıtay Personeli Davranış İlkelerinde ayrı başlık altında düzenlenmiş değildir. Konu mesleğe yaraşırlık bağlamında ele alınmıştır. Buna karşılık The Judicial Integrity Group’un yardımcı adalet personeli için hazırladığı etik ilkeler arasında yer almaktadır."
Kadınlara seçme hakkı verilmeyen bir ülkede hangi haklar ihlal edilmiş olur?,"Birinci Kuşak Haklar (Klasik Haklar) , Yaşam hakkı ve kişi dokunulmazlığı , Kişi özgürlüğü ve güvenliği , Düşünce ve düşünceyi açıklama özgürlüğü , İnanç ve ibadet özgürlüğü , Konut dokunulmazlığı , Mülkiyet hakkı , Eşitlik hakkı , Seçme ve seçilme hakkı , Kamu hizmetlerine girme hakkı , Tarafsız bir yargıç önünde yargılanma hakkı, başka bir deyimle adil yargılanma hakkı  olarak sıralanabilir."
"Herkes gibi ifade, inanç, dernek kurma ve top­lanma özgürlüğüne sahip olan yargı mensupları özgürlükleri kullanırken siyasi niteliğe bürünmüş, çekişmeli tartış­malara aleni olarak katılmaktan ve görüş bildirmekten kaçınmalı denildiğinde aşağıdakilerden hangisi olduğunu anlamalıyız?   ","Gerek hâkimler gerek Cumhuriyet savcıları, di­ğer herkes gibi ifade, inanç, dernek kurma ve top­lanma özgürlüğüne sahiptirler. Ancak bu özgürlü­ğün kullanım alanının sınırları, buna ilişkin genel sınırların öncesinde, yargı görevinin onuru, yargı­nın bağımsızlığı ve tarafsızlığını korumak zorun­luluğuyla çizilmiştir. Öte yandan yargı mensupları zikrettiğimiz özgürlükleri kullanırken: •Siyasi niteliğe bürünmüş, çekişmeli tartış­malara aleni olarak katılmaktan ve görüş bildirmekten kaçınmalı, • Sosyal medya kullanırken öz denetim yap­mak suretiyle siyasi, etnik, mezhepçi, cinsi­yetçi ve benzeri paylaşım yapmamalıdırlar."
"""Madde 5- Hiç kimseye işkence yapılamaz, zalimce, insanlık dışı veya onur kırıcı davranışlarda bulunulamaz ve ceza verilemez.
Madde 6- Herkesin, her nerede olursa olsun, hukuksal kişiliğinin tanınması hakkı vardır.
Madde 8- Herkesin anayasa yada yasayla tanınmış temel haklarını çiğneyen eylemlere karşı yetkili ulusal mahkemeler eliyle etkin bir yargı yoluna başvurma hakkı vardır.""
Yukarıda yer alan ifadeler aşağıdakilerden hangisinin beyannamesidir?",Yukarıda yer alan maddeler 
"Bir icra dairesinde memur olarak çalışmakta olan A, önüne hangisi ile ilgili bir dosya geldiğinde iş görme yasağı kapsamında işten el çekmek ve durumu icra mahkemesine haber vermek zorunda değildir?","HMK m. 45 ile CMK m. 32 hükümleri, zabıt kâtibinin reddini, hâkimin davaya bakmaktan yasaklılığını ve reddini düzenleyen hükümlere atıf yaparak düzenlemiştir. Önceki ünitemizde sayılan bu sebepleri tekrar inceleyiniz . Kısacası zabıt kâtibi en az hâkim kadar tarafsız olmalıdır. Konu icra ve iflâs memurları bakımından ise, İcra ve İflâs Kanununun (İİK) m. 10 hükmünde iş görme yasağı başlığı altında ele alınmıştır. Buna göre bir icra ve iflâs dairesi müdürü, yardımcısı veya bir diğer memuru:
• Kendisinin,
• Karı veya kocasının, nişanlısının yahut kan ve sıhri usul ve füruunun veya üçüncü derece dahil olmak üzere bu dereceye kadar olan kan ve sıhri civar hısımlarının,
• Kanuni mümessili veya vekili yahut müstahdemi bulunduğu bir şahsın, menfaati olan işleri göremeyip derhal icra mahkemesine haber vermeye mecburdur. Doğru cevap E'dir. "
"Epistemolojiye ilişkin aşağıdakilerden hangileri doğrudur?
I. Eşya ve hadiseler hakkında ortaya koyduğumuz önermelerin geçerliliğini sorgular.
II. Bilme faaliyetinin kendisi hakkındaki refleksiyonlardan oluşur.
III. Var olanlar hakkındaki bilgilerimiz üzerine bir bilgiye ulaşma amaçlanır. 
IV. İş gördüğü temel kategori belirsizliktir.","Bilgi felsefesi bilme faaliyetinin bizatihi kendisi hakkındaki refleksiyonlardan oluşur. Yani burada varolan eşya ve hadiselerin kendileri değil, bunlara dair bilginin imkânı hakkında düşünülür. Bir anlamda bizim varolanlar hakkındaki bilgilerimiz üzerine bir bilgiye ulaşma amaçlanır. Epistemolojinin iş gördüğü temel kategoriler “doğru” ve “yanlış”tır. Bu iki kategori aracılığıyla felsefi düşünce eşya ve hadiseler hakkında ortaya koyduğumuz yargıların, yani önermelerin geçerliliğini sorgular. Doğru cevap C'dir."
Avukatların tanıklara önerilerde bulunamaması aşağıdaki etik kurallardan hangisiyle doğrudan ilişkilidir?,Avukatlar dürüstlük ilkesi bağlamında tanıklar ile olan ilişkilerde:avukat ileride tanık olarak dinlenecek kimselerden istisnai olarak bazı konuları öğrenmek zorunda kalmış olursa bu kişileri etkilemiş olma şüphesi altına düşmekten kaçınmalıdır. Bu çerçevede avukat: tanıklara önerilerde bulunamaz.
